note,id,name,avatar,icon,type,kind,logic,camp,ai,hate_id,hate_case,lv,dizzyable,knockupable,repulseable,silentable,poisonable,fireable,invincible,confineable,can_be_pass_by_enemy,can_be_pass_by_self,showBigHp,showHP,skill0,skill1,skill2,skill3,skill4,skill5,skill6,is_multistate,state_switch
汉朝小兵1-被技能秒掉,1001005,汉朝小兵,1035,head_b_004,1,2,-1,3,10104,1,-1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2,-1,-1,-1,-1,-1,-1,,
汉朝小兵2-被技能秒掉,1001006,汉朝小兵,1013,head_b_004,1,2,-1,3,10104,1,-1,1,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,13,-1,-1,-1,-1,-1,-1,,
##1-2##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄巾军枪兵（友方随从）,1002001,黄巾军,1036,head_b_004,0,-1,-1,9,10201,1,-1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,-1,-1,-1,,
黄巾军锄头兵（友方随从）,1002002,黄巾军,1005,head_b_004,0,-1,-1,9,10201,1,-1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,5,-1,-1,-1,-1,-1,-1,,
张曼成（友方随从）,1002003,张曼成,1032,head_b_002,0,-1,-1,9,10201,1,-1,2,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,TRUE,FALSE,1,13,-1,-1,-1,-1,-1,-1,,
皇埔嵩（血较多）,1002004,皇埔嵩,2002,head_b_002,1,-1,-1,3,10204,1,-1,2,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,3,-1,-1,-1,4002,-1,-1,TRUE,4
汉朝走卒（枪兵）,1002005,汉朝走卒,1001,head_b_004,1,-1,-1,3,10202,1,-1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,-1,-1,-1,-1,,
汉朝走卒（长枪兵）,1002006,汉朝走卒,1002,head_b_004,1,-1,-1,3,10202,1,-1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1,-1,-1,-1,-1,-1,-1,,
汉朝小兵（皇莆嵩的护卫）,1002007,汉朝小兵（皇莆嵩的护卫）,1002,head_b_004,1,-1,-1,3,10204,1,-1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,2,-1,-1,-1,-1,-1,-1,,
汉朝锤兵,1002008,汉朝锤兵,1024,head_b_004,1,-1,-1,3,10202,1,-1,2,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,3,-1,-1,-1,-1,-1,-1,,
##1-3(精英)##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄巾军锄头兵（作为敌方）,1003001,受蛊惑的黄巾军,1005,head_b_004,1,-1,-1,3,10301,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,5,-1,-1,-1,-1,-1,-1,,
黄巾军枪兵（作为敌方）,1003002,受控制的黄巾军,1006,head_b_004,1,-1,-1,3,10302,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,-1,-1,-1,,
黄巾军弓兵（作为敌方）,1003003,被洗脑的黄巾军,1010,head_b_004,1,-1,-1,3,10303,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,10,-1,-1,-1,-1,-1,-1,,
栅栏,1003004,栅栏,36,head_b_005,1,-1,1002,3,-1,1,-1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,FALSE,1,-1,-1,-1,-1,-1,-1,-1,,
黄巾城门,1003005,城门,13,head_b_003,5,-1,1003,13,-1,1,-1,3,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,3,-1,-1,-1,-1,-1,-1,-1,,
董卓（友方随从）,1003006,枭雄·董卓,106,head_a_106,0,-1,-1,9,10304,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1013,1014,1015,-1,4003,-1,-1,,
张曼成（作为敌方BOSS）,1003007,黄巾首领·张曼成,2003,head_b_002,1,-1,-1,3,10305,1,-1,3,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,13,-1,-1,-1,-1,-1,-1,,
自爆小兵,1003008,狂热的黄巾军,1036,head_b_004,1,-1,-1,3,10306,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,55,-1,-1,,
黄巾军锄头兵（作为敌方）,1003009,受蛊惑的黄巾军,1005,head_b_004,1,-1,-1,3,10307,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,5,-1,-1,-1,-1,-1,-1,,
黄巾军枪兵（作为敌方）,1003010,受控制的黄巾军,1006,head_b_004,1,-1,-1,3,10308,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,-1,-1,-1,,
黄巾军弓兵（作为敌方）,1003011,被洗脑的黄巾军,1010,head_b_004,1,-1,-1,3,10309,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,10,-1,-1,-1,-1,-1,-1,,
黄巾军枪兵（张曼成侍卫）,1003012,受控制的黄巾军,1006,head_b_004,1,-1,-1,3,10305,1,-1,3,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,-1,-1,-1,,
##1-4##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
黄巾锄头兵,1004001,黄巾士兵,1005,head_b_004,1,-1,-1,3,10401,3,-1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,5,-1,-1,-1,-1,-1,-1,,
黄巾枪兵,1004002,黄巾枪兵,1006,head_b_004,1,-1,-1,3,10402,3,-1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,-1,-1,-1,,
黄巾弓兵,1004003,黄巾弓兵,1010,head_b_004,1,-1,-1,3,10403,3,-1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,10,-1,-1,-1,-1,-1,-1,,
张梁,1004004,张梁,2003,head_b_004,1,-1,-1,3,10404,3,-1,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,13,-1,-1,-1,4004,-1,-1,,
城门,1004005,城门,34,head_b_005,5,-1,1011,12,-1,1,-1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,-1,-1,-1,-1,-1,-1,-1,,
优先攻击主角的弓箭手,1004006,黄巾弓兵,1010,head_b_004,1,-1,-1,3,10405,3,-1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,10,-1,-1,-1,-1,-1,-1,,
张宝,1004007,张宝,2004,head_b_004,2,-1,-1,3,10408,3,-1,4,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,9,-1,-1,-1,4005,-1,-1,,
木头人,1004008,木头人,1011,head_b_004,1,1,-1,3,10406,3,-1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,11,-1,-1,-1,-1,-1,-1,,
黄巾锤兵,1004009,黄巾锤兵,1024,head_b_004,1,1,-1,3,10406,3,-1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,23,-1,-1,-1,-1,-1,-1,,
火炮,1004010,火炮,26,head_b_004,1,-1,1012,3,-1,3,-1,4,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,1,31,-1,-1,-1,-1,-1,-1,,
黄巾枪兵（操作火炮手专用）,1004011,黄巾枪兵,1006,head_b_004,1,-1,-1,3,10405,3,-1,4,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,-1,-1,-1,,
##1-5##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
华雄,1005001,匹夫之勇·华雄,117,head_a_102,2,1,-1,3,10501,1,-1,5,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,1001,1002,1003,-1,4006,-1,-1,,
##1-6##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
张角,1006001,大贤良师·张角,101,head_a_101,3,-1,-1,3,10606,1,-1,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,1005,1006,1007,-1,3003,3001,3002,,
木头人,1006002,邪术木人,1011,head_b_004,1,1,-1,3,10603,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,11,-1,-1,-1,-1,-1,-1,,
黄巾军弓兵,1006003,黄巾弓兵,1010,head_b_004,1,2,-1,3,10605,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,10,-1,-1,-1,-1,-1,-1,,
火球陷阱1,1006004,火球,27,head_b_008,4,-1,1005,7,-1,1,-1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,32,-1,-1,-1,-1,-1,-1,,
火球陷阱2,1006005,火球,27,head_b_008,4,-1,1006,7,-1,1,-1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,32,-1,-1,-1,-1,-1,-1,,
火球陷阱3,1006006,火球,27,head_b_008,4,-1,1007,7,-1,1,-1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,32,-1,-1,-1,-1,-1,-1,,
黄巾军刀兵,1006007,黄巾军刀兵,1032,head_b_004,1,1,-1,3,10605,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,6,-1,-1,-1,105,-1,-1,,
招火幡,1006008,招火幡,32,head_b_009,1,-1,1008,3,-1,1,-1,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,1,-1,-1,-1,-1,-1,-1,-1,,
招雷幡,1006009,招雷幡,33,head_b_008,1,-1,1009,3,-1,1,-1,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,FALSE,FALSE,TRUE,TRUE,1,-1,-1,-1,-1,-1,-1,-1,,
雷电,1006010,落雷,28,head_b_004,4,-1,1010,7,-1,1,-1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,35,-1,-1,-1,-1,-1,-1,,
##2-1（）##,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被护送的黄巾军1,1007001,被护送的黄巾军,1005,head_b_004,0,2,-1,9,10701,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,5,-1,-1,-1,-1,-1,-1,,
被护送的黄巾军2,1007002,被护送的黄巾军,1005,head_b_004,0,2,-1,9,10701,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,5,-1,-1,-1,-1,-1,-1,,
汉朝刀兵,1007003,汉朝刀兵,1013,head_b_004,1,1,-1,3,10702,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,13,-1,-1,-1,-1,-1,-1,,
汉朝枪兵,1007004,汉朝普通枪兵,1001,head_b_004,1,2,-1,3,10702,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,4001,-1,-1,,
汉朝长枪兵,1007005,汉朝长枪兵,1002,head_b_004,1,2,-1,3,10703,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,4001,-1,-1,,
侍卫枪兵,1007006,侍卫枪兵,1016,head_b_001,1,2,-1,3,10703,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,3,-1,-1,-1,-1,-1,-1,,
卢植,1007007,卢植,2002,head_a_117,1,4,-1,3,10204,1,-1,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,3,-1,-1,-1,4002,-1,-1,TRUE,8
栅栏,1007008,栅栏,36,head_b_005,1,-1,1002,3,-1,1,-1,6,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,1,-1,-1,-1,-1,-1,-1,-1,,
张角,1007009,张角,101,head_a_101,3,-1,-1,3,10606,1,-1,6,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,1005,1006,1007,-1,3003,3001,3002,,
精英刀兵,1007010,精英刀兵,1039,head_b_004,1,1,-1,3,11002,1,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,-1,-1,-1,,
锤兵,1007011,锤兵,1024,head_b_004,1,1,-1,3,10702,3,-1,6,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,23,-1,-1,-1,-1,-1,-1,,
##2-2（精英关）##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
被守护的卢植,1008001,卢植,2005,head_a_117,0,-1,-1,4,10802,1,-1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,3,3,-1,-1,-1,4002,-1,-1,,
刘备（随从人员）,1008002,刘备（随从人员）,117,head_a_117,0,-1,-1,9,10203,1,-1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1009,1010,1011,-1,1012,-1,-1,,
公孙瓒（随从人员）,1008003,公孙瓒（随从人员）,117,head_a_116,0,-1,-1,9,10203,1,-1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,1009,1010,1011,-1,1012,-1,-1,,
刺客,1008004,蒙面刺客,1040,head_b_016,1,-1,-1,3,10203,4,-1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,14,-1,-1,-1,-1,-1,-1,,
刀兵,1008005,汉朝刀兵,1013,head_b_004,1,1,-1,3,10203,1,-1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,13,-1,-1,-1,-1,-1,-1,,
侍卫枪兵,1008006,侍卫枪兵,1016,head_b_001,1,-1,-1,3,10203,1,-1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,4001,-1,-1,,
官兵队长,1008007,官兵队长,1015,head_b_002,1,-1,-1,3,10203,1,-1,7,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,-1,-1,-1,,
牢笼,1008008,牢笼,40,head_b_005,0,-1,1015,3,-1,1,-1,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,3,-1,-1,-1,-1,-1,-1,-1,,
城门,1008009,城门,38,head_b_012,5,-1,1013,6,-1,1,-1,7,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,1,-1,-1,-1,-1,-1,-1,-1,,
##2-3##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
卢植,1009001,卢植,2002,head_a_117,1,-1,-1,9,10901,1,-1,8,TRUE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,3,-1,-1,-1,4002,-1,-1,,
蒙面刺客,1009002,蒙面刺客,1014,head_b_016,1,-1,-1,3,10902,4,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,14,-1,-1,-1,-1,-1,-1,,
宫殿侍卫枪兵,1009003,奸党手下,1016,head_b_001,1,-1,-1,3,10902,4,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,13,-1,-1,-1,-1,-1,-1,,
宫殿侍卫刀兵,1009004,奸党手下,1015,head_b_010,1,-1,-1,3,10902,4,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,-1,-1,-1,,
官兵队长,1009005,官兵队长,1039,head_b_002,2,-1,-1,3,10903,4,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,15,-1,-1,-1,4008,-1,-1,,
突然刷出的蒙面刺客,1009006,蒙面刺客,1040,head_b_016,1,-1,-1,3,10903,4,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,14,-1,-1,-1,-1,-1,-1,,
城门,1009007,城门,38,head_b_012,5,-1,1013,6,-1,1,-1,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,1,-1,-1,-1,-1,-1,-1,-1,,
##2-4##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
接头线人,1010001,接头线人,1018,head_b_001,0,-1,-1,3,11001,1,-1,8,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,18,-1,-1,-1,-1,-1,-1,,
宫殿侍卫枪兵,1010002,侍卫枪兵,1016,head_b_001,1,-1,-1,3,11003,1,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,4001,-1,-1,,
宫殿侍卫刀兵,1010003,侍卫刀兵,1015,head_b_010,1,-1,-1,3,11002,1,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,-1,-1,-1,,
城门,1010004,城门,38,head_b_012,5,-1,1013,13,-1,1,-1,8,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,1,-1,-1,-1,-1,-1,-1,-1,,
突然调出来的怪物,1010005,侍卫刀兵,1015,head_b_004,1,-1,-1,3,11002,1,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,4008,-1,-1,,
宫殿侍卫枪兵-站街,1010006,侍卫枪兵,1016,head_b_001,1,-1,-1,3,11004,1,-1,8,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,4001,-1,-1,,
##2-5##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
宫殿侍卫枪兵(原地）,1011001,宫殿守卫,1016,head_b_001,1,-1,-1,3,12001,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,4001,-1,-1,,
宫殿侍卫枪兵(跟随）,1011002,枪兵守卫,1016,head_b_001,1,-1,-1,3,12003,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,16,-1,-1,-1,-1,-1,-1,,
宫殿侍卫刀兵（原地）,1011003,宫殿守卫,1015,head_b_010,1,1,-1,3,12001,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,-1,-1,-1,,
宫殿侍卫刀兵（首领）,1011004,巡逻首领,1015,head_b_010,1,1,-1,3,12002,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,-1,-1,-1,,
宫殿侍卫弓兵（跟随）,1011005,巡逻士兵,1017,head_b_010,1,-1,-1,3,12004,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,4,-1,-1,-1,-1,-1,-1,,
宫殿侍卫锤兵（首领）,1011006,巡逻首领,2002,head_b_010,1,1,-1,3,12002,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,3,-1,-1,-1,4002,-1,-1,,
守护铁卫,1011007,守护铁卫,1033,head_b_010,1,-1,-1,3,12005,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,33,-1,-1,-1,4009,-1,-1,,
地刺陷阱,1011008,地刺陷阱,41,head_b_008,4,-1,1014,7,-1,1,-1,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,FALSE,TRUE,TRUE,FALSE,0,60,-1,-1,-1,-1,-1,-1,,
莽之颅,1011009,莽之颅,43,head_b_008,1,-1,-1,3,-1,1,-1,9,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,FALSE,TRUE,TRUE,FALSE,3,-1,-1,-1,-1,-1,-1,-1,,
十常侍,1011010,十常侍,1018,head_b_006,0,-1,-1,3,11001,1,-1,9,FALSE,FALSE,FALSE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,3,18,-1,-1,-1,-1,-1,-1,,
突然调出来的怪物,1011011,侍卫刀兵,1015,head_b_004,1,-1,-1,3,11002,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,15,-1,-1,-1,4008,-1,-1,,
##2-6##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
十常侍,1012001,十常侍,1018,head_b_006,1,-1,-1,3,10203,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,18,-1,-1,-1,-1,-1,-1,,
侍女,1012002,侍女,1019,head_a_113,1,-1,-1,3,13003,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,FALSE,1,19,-1,-1,-1,-1,-1,-1,,
刺客,1012003,刺客,1014,head_b_016,1,-1,-1,3,13002,1,-1,9,TRUE,TRUE,TRUE,TRUE,TRUE,TRUE,FALSE,TRUE,TRUE,TRUE,TRUE,1,14,-1,-1,-1,-1,-1,-1,,
