 ,id,name,born_pos,area_id1,resource_name1,area_id2,resource_name2,area_id3,resource_name3,area_id4,resource_name4,area_id5,resource_name5,area_id6,resource_name6,area_id7,resource_name7,area_id8,resource_name8
长安劫1,1007,长安劫1,4,100701,assetbundle/Huangjinluan_a(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
长安劫2,1008,长安劫2,6,100801,assetbundle/Huangjinluan(scenemapdata).scenemapdata,100802,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
长安劫3,1009,长安劫3,16,100901,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata
长安劫4,1010,长安劫4,2,101001,assetbundle/Changanjie_01_a(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_01(scenemapdata).scenemapdata
长安劫5,1011,长安劫5,2,101101,assetbundle/Changanjie_02(scenemapdata).scenemapdata,101102,assetbundle/Changanjie_02(scenemapdata).scenemapdata,101103,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata
长安劫6,1012,长安劫6,4,101201,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata
长安劫7,1013,长安劫7,4,101301,assetbundle/Changanjie_02(scenemapdata).scenemapdata,101302,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata
长安劫8,1014,长安劫8,4,101401,assetbundle/Changanjie_02(scenemapdata).scenemapdata,101402,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata,-1,assetbundle/Changanjie_02(scenemapdata).scenemapdata
Test,1099,Test,4,100101,assetbundle/Huangjinluan(scenemapdata).scenemapdata,199999,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
兵临城下,10001,兵临城下,4,100401,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
急行战,10002,急行战,4,100001,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata,-1,assetbundle/Huangjinluan(scenemapdata).scenemapdata
