icon,id,type,need_level,add_prop,level_up_cost
talent_icon_hp,316,3,20,2176,50000005_12000
talent_icon_hp,317,3,20,2304,50000005_13000
talent_icon_hp,318,3,20,2432,50000005_14000
talent_icon_hp,319,3,20,2560,50000005_15000
talent_icon_hp,320,3,30,2688,50000005_16500
talent_icon_hp,321,3,30,2816,50000005_18000
talent_icon_hp,322,3,30,2944,50000005_19500
talent_icon_hp,323,3,30,3072,50000005_21000
talent_icon_hp,324,3,30,3200,50000005_22500
talent_icon_hp,325,3,30,3328,50000005_24000
talent_icon_hp,326,3,30,3456,50000005_25500
talent_icon_hp,327,3,30,3584,50000005_27000
talent_icon_hp,328,3,30,3712,50000005_28500
talent_icon_hp,329,3,30,3840,50000005_30000
talent_icon_hp,330,3,40,3968,50000005_32000
talent_icon_hp,331,3,40,4096,50000005_34000
talent_icon_hp,332,3,40,4224,50000005_36000
talent_icon_hp,333,3,40,4352,50000005_38000
talent_icon_hp,334,3,40,4480,50000005_40000
talent_icon_hp,335,3,40,4608,50000005_42000
talent_icon_hp,336,3,40,4736,50000005_44000
talent_icon_hp,337,3,40,4864,50000005_46000
talent_icon_hp,338,3,40,4992,50000005_48000
talent_icon_hp,339,3,40,5120,50000005_50000
talent_icon_hp,340,3,50,5248,50000005_55000
talent_icon_hp,341,3,50,5376,50000005_60000
talent_icon_hp,342,3,50,5504,50000005_65000
talent_icon_hp,343,3,50,5632,50000005_70000
talent_icon_hp,344,3,50,5760,50000005_75000
talent_icon_hp,345,3,50,5888,50000005_80000
talent_icon_hp,346,3,50,6016,50000005_85000
talent_icon_hp,347,3,50,6144,50000005_90000
talent_icon_hp,348,3,50,6272,50000005_95000
talent_icon_hp,349,3,50,6400,50000005_100000
talent_icon_hp,350,3,50,6528,50000005_0
