id,name,desc,icon,is_break_self,is_break_hurt,skill_datas,skill_type,unlock_cost,unlock_level
106,长枪突刺,用力将枪插入地面，从前往按照顺序依次从地面出现3道枪影（地刺）（石柱）对目标造成击飞效果；,skill_003,FALSE,FALSE,1301;1302;1303;1304;1305;1306;1307;1308;1309;1310;1311;1312;1313;1314;1315;1316;1317;1318;1319;1320,1,,5
107,绝杀冲阵,在敌兵中来回冲刺，二段击飞敌兵，最适用于击杀躲在后排的弓箭兵。,skill_002,FALSE,FALSE,1201;1202;1203;1204;1205;1206;1207;1208;1209;1210;1211;1212;1213;1214;1215;1216;1217;1218;1219;1220,1,,15
108,倒转昆仑,轮动长枪形成圆形火圈对周围目标造成100%普通攻击伤害，最后一次伤害附带击飞效果,skill_004,FALSE,FALSE,1101;1102;1103;1104;1105;1106;1107;1108;1109;1110;1111;1112;1113;1114;1115;1116;1117;1118;1119;1120,1,,20
1001,曹仁普通攻击1,曹仁普通攻击1,,TRUE,TRUE,849,1,,1
1002,曹仁普通攻击2,曹仁普通攻击2,,TRUE,TRUE,850,1,,1
1003,曹仁普通攻击3,曹仁普通攻击3,,TRUE,TRUE,851,1,,1
1004,曹仁技能,曹仁技能,skill_023,FALSE,FALSE,103001;103002;103003;103004;103005;103006;103007;103008;103009;103010;103011;103012;103013;103014;103015;103016;103017;103018;103019;103020,1,,1
1005,张角普通攻击1,张角普通攻击1,,TRUE,TRUE,801,1,,1
1006,张角普通攻击2,张角普通攻击2,,TRUE,TRUE,802,1,,1
1007,张角普通攻击3,张角普通攻击3,,TRUE,TRUE,803,1,,1
1008,黄天诡爪,黄天诡爪,skill_013,FALSE,FALSE,100001;100002;100003;100004;100005;100006;100007;100008;100009;100010;100011;100012;100013;100014;100015;100016;100017;100018;100019;100020,1,,1
1009,华雄普通攻击1,华雄普通攻击1,,TRUE,TRUE,804,1,,1
1010,华雄普通攻击2,华雄普通攻击2,,TRUE,TRUE,805,1,,1
1011,华雄普通攻击3,华雄普通攻击3,,TRUE,TRUE,806,1,,1
1012,勇冠三军,华雄技能,,FALSE,FALSE,101001;101002;101003;101004;101005;101006;101007;101008;101009;101010;101011;101012;101013;101014;101015;101016;101017;101018;101019;101020,1,,1
1013,董卓普通攻击1,董卓普通攻击1,,TRUE,TRUE,807,1,,1
1014,董卓普通攻击2,董卓普通攻击2,,TRUE,TRUE,808,1,,1
1015,董卓普通攻击3,董卓普通攻击3,,TRUE,TRUE,809,1,,1
1016,董卓技能,董卓技能,skill_021,FALSE,FALSE,102001;102002;102003;102004;102005;102006;102007;102008;102009;102010;102011;102012;102013;102014;102015;102016;102017;102018;102019;102020,1,,1
1017,张辽普通攻击1,张辽普通攻击1,,TRUE,TRUE,810,1,,1
1018,张辽普通攻击2,张辽普通攻击2,,TRUE,TRUE,811,1,,1
1019,张辽普通攻击3,张辽普通攻击3,,TRUE,TRUE,812,1,,1
1020,张辽技能,张辽技能,skill_016,FALSE,FALSE,104001;104002;104003;104004;104005;104006;104007;104008;104009;104010;104011;104012;104013;104014;104015;104016;104017;104018;104019;104020,1,,1
1021,华佗过普通攻击1,华佗过普通攻击1,,TRUE,TRUE,861,1,,1
1022,华佗过普通攻击2,华佗过普通攻击2,,TRUE,TRUE,862,1,,1
1023,华佗过普通攻击3,华佗过普通攻击3,,TRUE,TRUE,863,1,,1
1024,华佗技能,华佗技能,skill_015,FALSE,FALSE,105001;105002;105003;105004;105005;105006;105007;105008;105009;105010;105011;105012;105013;105014;105015;105016;105017;105018;105019;105020,1,,1
1025,汉献帝过普通攻击1,汉献帝过普通攻击1,,TRUE,TRUE,837,1,,1
1026,汉献帝过普通攻击2,汉献帝过普通攻击2,,TRUE,TRUE,838,1,,1
1027,汉献帝过普通攻击3,汉献帝过普通攻击3,,TRUE,TRUE,839,1,,1
1028,汉献帝技能,汉献帝技能,hero_skill_a_106a,FALSE,FALSE,106001;106002;106003;106004;106005;106006;106007;106008;106009;106010;106011;106012;106013;106014;106015;106016;106017;106018;106019;106020,1,,1
1029,徐晃1,徐晃1,,TRUE,TRUE,846,1,,1
1030,徐晃2,徐晃2,,TRUE,TRUE,847,1,,1
1031,徐晃3,徐晃3,,TRUE,TRUE,848,1,,1
1032,徐晃技能,徐晃技能,skill_017,FALSE,FALSE,107001;107002;107003;107004;107005;107006;107007;107008;107009;107010;107011;107012;107013;107014;107015;107016;107017;107018;107019;107020,1,,1
1033,袁术1,袁术1,,TRUE,TRUE,840,1,,1
1034,袁术2,袁术2,,TRUE,TRUE,841,1,,1
1035,袁术3,袁术3,,TRUE,TRUE,842,1,,1
1036,袁术4,袁术4,,FALSE,FALSE,108001;108002;108003;108004;108005;108006;108007;108008;108009;108010;108011;108012;108013;108014;108015;108016;108017;108018;108019;108020,1,,1
1037,吕布1,吕布1,,TRUE,TRUE,813,1,,1
1038,吕布2,吕布2,,TRUE,TRUE,814,1,,1
1039,吕布3,吕布3,,TRUE,TRUE,815,1,,1
1040,吕布4,吕布4,,FALSE,FALSE,109001;109002;109003;109004;109005;109006;109007;109008;109009;109010;109011;109012;109013;109014;109015;109016;109017;109018;109019;109020,1,,1
1041,黑衣人普通攻击1,黑衣人普通攻击1,,TRUE,TRUE,816,1,,1
1042,黑衣人普通攻击2,黑衣人普通攻击2,,TRUE,TRUE,817,1,,1
1043,黑衣人普通攻击3,黑衣人普通攻击3,,TRUE,TRUE,818,1,,1
1044,黑衣人技能,黑衣人技能,,FALSE,FALSE,110001;110002;110003;110004;110005;110006;110007;110008;110009;110010;110011;110012;110013;110014;110015;110016;110017;110018;110019;110020,1,,1
1045,孙坚普通攻击1,孙坚普通攻击1,,TRUE,TRUE,819,1,,1
1046,孙坚普通攻击2,孙坚普通攻击2,,TRUE,TRUE,820,1,,1
1047,孙坚普通攻击3,孙坚普通攻击3,,TRUE,TRUE,821,1,,1
1048,孙坚技能,孙坚技能,,FALSE,FALSE,111001;111002;111003;111004;111005;111006;111007;111008;111009;111010;111011;111012;111013;111014;111015;111016;111017;111018;111019;111020,1,,1
2001,曹仁被动技能,曹仁被动技能,hero_skill_a_106a,TRUE,TRUE,203001;203002;203003;203004;203005;203006;203007;203008;203009;203010;203011;203012;203013;203014;203015;203016;203017;203018;203019;203020,2,,1
2002,张角被动技能,张角被动技能,hero_skill_a_106a,TRUE,TRUE,200001;200002;200003;200004;200005;200006;200007;200008;200009;200010;200011;200012;200013;200014;200015;200016;200017;200018;200019;200020,2,,1
2003,华雄被动技能,华雄被动技能,hero_skill_a_106a,TRUE,TRUE,201001;201002;201003;201004;201005;201006;201007;201008;201009;201010;201011;201012;201013;201014;201015;201016;201017;201018;201019;201020,2,,1
2004,董卓被动技能,董卓被动技能,hero_skill_a_106a,TRUE,TRUE,202001;202002;202003;202004;202005;202006;202007;202008;202009;202010;202011;202012;202013;202014;202015;202016;202017;202018;202019;202020,2,,1
2005,张辽被动技能,张辽被动技能,hero_skill_a_106a,TRUE,TRUE,204001;204002;204003;204004;204005;204006;204007;204008;204009;204010;204011;204012;204013;204014;204015;204016;204017;204018;204019;204020,2,,1
2006,华佗被动技能,华佗被动技能,hero_skill_a_106a,TRUE,TRUE,205001;205002;205003;205004;205005;205006;205007;205008;205009;205010;205011;205012;205013;205014;205015;205016;205017;205018;205019;205020,2,,1
3001,张角BOSS技能1,张角BOSS技能1,,TRUE,TRUE,300001,1,,1
3002,张角BOSS技能2,张角BOSS技能2,,TRUE,TRUE,300002,1,,1
3003,张角BOSS技能3,张角BOSS技能3,,TRUE,TRUE,300003,1,,1
4001,1-1boss技能,1-1boss技能,,FALSE,FALSE,400001,1,,1
4002,1-2boss技能,1-2boss技能,,FALSE,FALSE,400002,1,,1
14002,1-2boss技能,1-2boss技能,,FALSE,FALSE,1400002,1,,1
4003,1-3董卓show技能,1-3董卓show技能,,FALSE,FALSE,400003,1,,1
4004,1-4张梁技能,1-4张梁技能,,FALSE,FALSE,400004,1,,1
4005,1-4张宝技能,1-4张宝技能,,FALSE,FALSE,400005,1,,1
4006,1-5华雄技能,1-5华雄技能,,FALSE,FALSE,400006,1,,1
4007,1-4张宝技能,1-4张宝技能,,FALSE,FALSE,400005,1,,1
4008,2-3的刀兵队长技能,2-3的刀兵队长技能,,FALSE,FALSE,400008,1,,1
4009,精英怪弩手技能,精英怪弩手技能,,FALSE,FALSE,400009,1,,1
4010,精英怪03技能,精英怪03技能,,FALSE,FALSE,400010,1,,1
