note,id,quest,step,category,level,pre_quest,type,name,desc,count,time,relive,tar_camp,tar_type,tar_id,focus_hp,focus_time,focus_skill,focus_spawn,focus_pos,callback,param1,param2,param3,param4,param5
区域2,8,3,2,1,1,-1,4,击杀枪兵,击杀枪兵,2,-1,3,-1,3,2,0,-1,-1,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
区域3,9,3,3,1,1,-1,4,击杀Boss,击杀Boss,3,-1,3,-1,3,3,0,-1,-1,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
星级1,10,4,1,2,1,-1,4,30秒清理刀兵,30秒清理刀兵,1,30,3,-1,3,1,0,-1,-1,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
星级2,11,5,1,2,1,-1,4,使用技能2次,使用技能2次,2,-1,3,-1,1,-1,-1,-1,8,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
星级3,12,6,1,2,1,-1,6,顺序击杀,急火枪兵,1,60,3,-1,3,2;1,0,-1,-1,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
##测试###,,,,,,,,,,,,,,,,,,,,,,,,,,
,800001,101,1,1,1,-1,4,击杀官兵队长,击杀官兵队长,1,-1,3,-1,3,1001003,0,-1,-1,-1,-9999,Demo:ShakeCamera,-1,-1,-1,-1,-1
,800002,102,1,1,1,-1,1,守住城门，击杀来犯敌军,守住城门，击杀来犯敌军,1,-1,3,-1,3,1004005,1,-1,-1,1004001,-9999,-1,-1,-1,-1,-1,-1
##正文##,,,,,,,,,,,,,,,,,,,,,,,,,,
##1-1##################################################,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900001,10001,1,1,1,-1,4,击杀来犯官兵,击杀来犯官兵,2,-1,99,-1,3,1001001;1001002,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900002,10001,2,1,1,-1,4,击杀官兵队长,击杀官兵队长,1,-1,99,-1,3,1001003,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##1-2##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900003,10002,1,1,1,-1,4,击杀皇莆嵩,击杀皇莆嵩,1,-1,99,-1,3,1002004,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##1-3(精英)##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900005,10003,1,1,1,-1,2,攻破城门,攻破城门,1,-1,99,-1,3,1003005,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900006,10003,2,1,1,-1,4,杀张曼成,杀张曼成,1,-1,99,-1,3,1003007,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900007,10004,1,2,1,-1,2,攻破城门,攻破城门,1,-1,99,-1,3,1003005,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900008,10005,1,2,1,-1,4,杀张曼成,杀张曼成,1,-1,99,-1,3,1003007,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900009,10006,1,2,1,-1,4,120秒内攻破城门,120秒内攻破城门,1,120,99,-1,3,1003005,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##1-4##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900010,10007,1,1,1,-1,1,守住城门，击杀敌军,守住城门，击杀敌军,1,-1,99,-1,3,1004005,1,-1,-1,1004003,-9999,-1,-1,-1,-1,-1,-1
##1-5##,,,,,,,,,,,,,,,,,,,-1,,,,,,,
区域1目标,900011,10008,1,1,1,-1,4,60秒内击败华雄,60秒内击败华雄,1,60,99,-1,3,1005001,10,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##1-6（BOSS关）##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900012,10009,1,1,1,-1,4,毁掉雷幡,毁掉雷幡,1,-1,99,-1,3,1006009,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900013,10009,2,1,1,-1,4,击败张角,击败张角,1,-1,99,-1,3,1006001,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900014,10010,1,2,1,-1,4,毁掉所有妖幡,毁掉所有妖幡,2,-1,99,-1,3,1006008;1006009,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900015,10011,1,2,1,-1,4,击败张角,击败张角,1,-1,99,-1,3,1006001,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900016,10012,1,2,1,-1,4,60秒内毁掉雷幡,60秒内毁掉雷幡,1,60,99,-1,3,1006009,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##2-1###############################################,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900017,10013,1,1,1,-1,3,护送黄巾军部队离开,护送黄巾军部队离开,2,-1,3,-1,3,1007001;1007002;,0,-1,-1,-1,33,-1,-1,-1,-1,-1,-1
##2-2(精英）##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900018,10014,1,1,1,-1,4,击败卢植,击败卢植,1,-1,3,-1,3,1007007,25,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900019,10014,2,1,1,-1,4,击破牢笼，解救卢植,击破牢笼，解救卢植,1,-1,3,-1,3,1008008,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900020,10015,1,2,1,-1,4,生命值保持在80%以上,生命值保持在80%以上,1,-1,3,-1,1,80,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900021,10016,1,2,1,-1,4,在30秒内战胜卢植,在30秒内战胜卢植,1,30,3,-1,3,1007007,30,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900022,10017,1,2,1,-1,4,击破牢笼，解救卢植,击破牢笼，解救卢植,1,-1,3,-1,3,1008008,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##2-3##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900023,10018,1,1,1,-1,3,护送卢植离开,护送卢植离开,1,-1,3,-1,3,1009001,0,-1,-1,-1,1,-1,-1,-1,-1,-1,-1
##2-4##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900024,10019,1,1,1,-1,4,截住接头线人，套出情报,截住接头线人，套出情报,1,180,3,-1,3,1010001,10,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##2-5(精英）##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900025,10020,1,1,1,-1,4,通过封锁，击杀侍卫,击杀侍卫，通过封锁,7,-1,3,-1,3,1011001;1011002;1011004;1011005,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900026,10020,2,1,1,-1,4,通过封锁，击杀侍卫,击杀侍卫，通过封锁,9,-1,3,-1,3,1011002;1011003;1011005;1011006,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域3目标,900126,10020,3,1,1,-1,4,摧毁头颅,摧毁头颅,1,-1,3,-1,3,1011009,10,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900027,10021,1,2,1,-1,4,摧毁头颅,摧毁头颅,1,-1,3,-1,3,1011009,10,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900028,10022,1,2,1,-1,4,生命值保持在90%以上,生命值保持在90%以上,1,-1,3,-1,1,90,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900029,10023,1,2,1,-1,4,生命值保持在70%以上,生命值保持在70%以上,1,-1,3,-1,1,70,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##2-6（##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900030,10024,1,1,1,-1,4,击杀全部敌方,击杀全部敌方,8,-1,3,-1,3,1012003;1012004,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900031,10024,2,1,1,-1,4,击杀镜像,击杀镜像,1,-1,3,-1,3,1012001,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##2-7（##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900032,10025,1,1,1,-1,4,击杀全部敌方,击杀全部敌方,13,-1,3,-1,3,1013001;1013002;1013003;1013006,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900033,10025,2,1,1,-1,4,击杀王莽,击杀王莽,1,-1,3,-1,3,1013005,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##2-8（BOSS关）##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900034,10026,1,1,1,-1,4,击杀3常侍（程旷、夏恽、郭胜）,击杀3常侍（程旷、夏恽、郭胜）,1,-1,3,-1,3,1014001;1014002;1014003,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900035,10026,2,1,1,-1,4,击杀黑衣人,击杀黑衣人,1,-1,3,-1,3,1014008,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900036,10027,1,2,1,-1,4,60s内熄灭大火,60s内熄灭大火,1,-1,3,-1,3,1014008,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900037,10028,1,2,1,-1,4,击败黑衣人,120秒内击败黑衣人,1,120,3,-1,3,1014008,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900038,10029,1,2,1,-1,4,30s内熄灭大火,30s内熄灭大火,1,30,3,-1,3,1014008,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-1###############################################,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900039,10030,1,1,1,-1,4,消灭乘乱劫掠的流寇,消灭乘乱劫掠的流寇,3,-1,3,-1,3,1001,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-2(精英）##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900040,10031,1,1,1,-1,4,击败挡道的袁军,击败挡道的袁军,5,-1,3,-1,3,1002,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900041,10031,2,1,1,-1,4,击败上将潘凤,击败上将潘凤,1,-1,3,-1,3,1007,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900042,10032,1,2,1,-1,4,击败上将潘凤,击败上将潘凤,1,-1,3,-1,3,1012,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900043,10033,1,2,1,-1,4,击败上将穆顺、俞涉,击败上将穆顺、俞涉,1,-1,3,-1,3,1009,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900044,10034,1,2,1,-1,4,60s内击杀上将潘凤,60s内击杀上将潘凤,1,300,3,-1,3,1012,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-3##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900045,10035,1,1,1,-1,2,击败联军将领武安国,击败联军将领武安国,1,-1,3,-1,3,1012,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-4##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900046,10036,1,1,1,-1,4,击败胡轸，解救人质,击败胡轸，解救人质,1,120,3,-1,3,1016,1,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-5(精英）##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900047,10037,1,1,1,-1,4,为关将军开路，击杀挡道小兵,为关将军开路，击杀挡道小兵,1,-1,3,-1,3,1025,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900048,10037,2,1,1,-1,4,击杀华雄,击杀华雄,1,-1,3,-1,3,1025,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900049,10038,1,2,1,-1,4,30s内击败挡道小兵,30s内击败挡道小兵,1,-1,3,-1,3,1028;1029;1030;1031;1032;1033;1034;1035,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900050,10039,1,2,1,-1,4,保证关羽不受小兵打扰,保证关羽不受小兵打扰,1,-1,3,-1,3,1038,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900051,10040,1,2,1,-1,4,60s内击败华雄,60s内击败华雄,1,30,3,-1,3,1028;1029;1030;1031;1032;1033;1034;1035,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-6（##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900052,10041,1,1,1,-1,4,击败木头人（精英），破坏阵眼,击败木头人（精英），破坏阵眼,1,-1,3,-1,3,1028;1029;1030;1031;1032;1033;1034;1035,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-7（##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900053,10042,1,1,1,-1,4,收集18袋粮草,收集18袋粮草,1,-1,3,-1,3,1028;1029;1030;1031;1032;1033;1034;1035,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
##3-8（BOSS关）##,,,,,,,,,,,,,,,,,,,,,,,,,,
区域1目标,900054,10043,1,1,1,-1,4,击败张辽,击败张辽,1,-1,3,-1,3,1028;1029;1030;1031;1032;1033;1034;1035,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
区域2目标,900055,10043,2,1,1,-1,4,击败boss吕布,击败boss吕布,1,-1,3,-1,3,1038,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
1星目标,900056,10044,1,2,1,-1,4,30s内击败张辽,30s内击败张辽,1,-1,3,-1,3,1028;1029;1030;1031;1032;1033;1034;1035,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
2星目标,900057,10045,1,2,1,-1,4,60s内击败吕布,60s内击败吕布,1,-1,3,-1,3,1038,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
3星目标,900058,10046,1,2,1,-1,4,生命值保持60%以上,生命值保持60%以上,1,30,3,-1,3,1028;1029;1030;1031;1032;1033;1034;1035,0,-1,-1,-1,-9999,-1,-1,-1,-1,-1,-1
