note,id,name,trigger_times,condition_type1,condition_param1,condition_type2,condition_param2,condition_type3,condition_param3,condition_type4,condition_param4,condition_type5,condition_param5,condition_type6,condition_param6,action_type1,action_param1,action_type2,action_param2,action_type3,action_param3,action_type4,action_param4,action_type5,action_param5,action_type6,action_param6
凑数小兵2,1006002,凑数小兵2,1,1,0,3,10;2,-1,-1,-1,-1,-1,-1,-1,-1,2,1006007;18;1,,,,,,,,,,
凑数小兵3,1006003,凑数小兵3,1,1,0,3,10;2,-1,-1,-1,-1,-1,-1,-1,-1,2,1006006;18;1,,,,,,,,,,
刷火,1006006,刷火,1,1,0,3,4;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1006008;1;0.001,0,,2,1006009;6;0.0001,2,1006010;9;0.0001,,,,
1-6事件2（第2区域）,1006005,触发剧情,1,1,0,5,1006007,2,3;-1,-1,-1,-1,-1,-1,-1,5,1006201,0,,0,,0,,0,,0,
BOSS预警,1006007,BOSS预警,1,1,0,3,2;2,-1,-1,-1,-1,-1,-1,-1,-1,6,,0,,0,,0,,0,,0,
张角落火,1006008,张角落火,1,1,1006001,4,80,-1,-1,-1,-1,-1,-1,-1,-1,2,1006010;8;1,2,1006010;10;1,2,1006010;14;1,,,,,,
##2-1##,,,,,,,,,,,,,,,,,,,,,,,,,,,
拦截的汉朝小兵1,1007001,拦截的汉朝小兵1,1,1,1007001,3,4;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1007002;8;0,,,,,,,,,,
拦截的汉朝小兵2,1007002,拦截的汉朝小兵2,1,1,1007001,3,8;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1007003;7;0,,,,,,,,,,
拦截的汉朝小兵3,1007003,拦截的汉朝小兵3,1,1,1007001,3,16;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1007002;20;0,,,,,,,,,,
拦截的精英刀兵1,1007004,拦截的汉朝小兵3,1,1,1007001,3,16;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1007003;24;0,,,,,,,,,,
拦截的精英刀兵1,1007005,拦截的汉朝小兵3,1,1,1007001,3,18;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1007002;30;0,2,1007004;30;0,,,,,,,,
拦截的精英刀兵2,1007006,拦截的精英刀兵,1,1,1007001,3,25;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1007007;4;0,,,,,,,,,,
##2-2##,,,,,,,,,,,,,,,,,,,,,,,,,,,
##战中剧情播放,,,,,,,,,,,,,,,,,,,,,,,,,,,
主角战胜卢植的对话,1008001,主角战胜卢植的对话,1,1,1007007,4,20,-1,-1,-1,-1,-1,-1,-1,-1,5,1008101,,,,,,,,,,
主角进入第二篇区域的对话,1008002,主角进入第二篇区域的对话,1,1,0,3,2;0,-1,-1,-1,-1,-1,-1,-1,-1,5,1008201,,,,,,,,,,
位置2刷怪,1008003,位置2刷怪,1,1,0,3,10;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1008005;7;1,2,1008006;10;1,,,,,,,,
位置3刷怪,1008004,位置3刷怪,1,1,0,3,14;0,-1,-1,-1,-1,-1,-1,-1,-1,2,1008005;6.5;1,2,1008006;9;1,2,1008007;10;1,,,,,,
血量）80刷怪,1008005,血量）80刷怪,1,1,1008008,4,80,-1,-1,-1,-1,-1,-1,-1,-1,2,1008005;22;1,2,1008006;23;1,0,,,,,,,
血量60刷怪,1008006,血量）80刷怪,1,1,1008008,4,60,-1,-1,-1,-1,-1,-1,-1,-1,2,1008005;22;1,2,1008007;25;1,0,,,,,,,
血量）8刷怪,1008007,血量）80刷怪,1,1,1008008,4,30,-1,-1,-1,-1,-1,-1,-1,-1,2,1008006;22;1,2,1008007;25;1,0,,,,,,,
血量）80刷怪,1008008,血量）80刷怪,1,1,1008008,4,20,-1,-1,-1,-1,-1,-1,-1,-1,2,1008005;22;1,2,1008006;25;1,2,1008007;26;1,,,,,,
##2-3##,,,,,,,,,,,,,,,,,,,,,,,,,,,
刷刺客1,1009001,刷刺客1,1,1,1009001,3,10;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1009006;2;1,,,,,,,,,,
刷刺客2,1009002,刷刺客2,1,1,1009001,3,6;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1009006;2;1,,,,,,,,,,
刷刺客3,1009003,刷刺客3,1,1,1009001,3,3;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1009006;2;1,,,,,,,,,,
##2-4##,,,,,,,,,,,,,,,,,,,,,,,,,,,
刷怪1,1010001,刷刺客1,1,1,0,3,4;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1010002;12;1,,,,,,,,,,
刷怪2,1010002,刷刺客2,1,1,0,3,8;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1010003;12;1,,,,,,,,,,
刷怪3,1010003,刷刺客3,1,1,0,3,9;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1009002;12;1,,,,,,,,,,
刷怪3--突然调出来,1010004,刷刺客3,1,1,0,3,12;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1009005;3;1,,,,,,,,,,
血量60刷怪,1010005,血量）80刷怪,1,1,1010004,4,70,-1,-1,-1,-1,-1,-1,-1,-1,2,1010002;22;1,,,,,,,,,,
血量）80刷怪,1010006,血量）80刷怪,1,1,1010004,4,30,-1,-1,-1,-1,-1,-1,-1,-1,2,1010002;22;1,2,1010003;25;1,,,,,,,,
##2-5##,,,,,,,,,,,,,,,,,,,,,,,,,,,
2-5区域3对话,1011001,播放剧情,1,1,0,3,2;1,-1,-1,-1,-1,-1,-1,-1,-1,5,1011101,,,,,,,,,,
##2-6##,,,,,,,,,,,,,,,,,,,,,,,,,,,
刷刺客,1012001,刷刺客,1,1,0,3,6;1,-1,-1,-1,-1,-1,-1,-1,-1,2,1012003;4;1,,,,,,,,,,
刷侍女,1012002,刷侍女,1,5,1012001,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1012002;11;1,,,,,,,,,,
刷刺客侍女,1012003,刷刺客侍女,1,5,1012002,-1,-1,-1,-1,-1,-1,-1,-1,-1,-1,2,1012004;11;1,,,,,,,,,,
刷迷雾,1012004,刷迷雾,1,1,0,3,5;1,-1,-1,-1,-1,-1,-1,-1,-1,7,,,,,,,,,,,
2-6区域2对话,1012005,2-6区域2对话,1,1,0,3,4;1,-1,-1,-1,-1,-1,-1,-1,-1,5,1012101,,,,,,,,,,
驱散迷雾,1012006,区域2驱散迷雾,1,1,0,3,2;1,-1,-1,-1,-1,-1,-1,-1,-1,8,,,,,,,,,,,
##2-7##,,,,,,,,,,,,,,,,,,,,,,,,,,,
区域变色,1013001,区域变色,1,1,0,3,2;1,-1,-1,-1,-1,-1,-1,-1,-1,9,,,,,,,,,,,
2-7区域2对话,1013002,2-7区域2对话,1,1,0,3,4;1,-1,-1,-1,-1,-1,-1,-1,-1,5,1013101,,,,,,,,,,
