note,id,name,desc,target,break_rate,break_move,player_show,hero_show,npc_show,boss_show,logicobject_show,show,,is_loop,loop_time,is_spasmodic,deltatime,buff_type,mutex_id,mutex_lv,script_type,param1,param2,param3,param4,param5,param6,param7,param8,param9
,8,通用输出怪,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,9,通用策士怪,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,10,黄巾军弓兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,11,木头人,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,12,百姓,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,13,普通刀兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,14,蒙面刺客,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,15,宫殿侍卫刀兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,16,宫殿侍卫枪兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,17,宫殿侍卫弓兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,18,普通策士,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,19,皇宫侍女1,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,20,普通骑兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,21,流寇/地痞,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,22,刀盾兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,23,普通锤兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,24,藤甲兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,25,重骑兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,26,普通弩兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,27,锤盾兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,28,投石车,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,29,象骑兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,30,床弩,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,31,大炮,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,10,,,,,,,
,32,火球,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit04(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,50,,,,,,,
,33,普通弩兵,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,34,皇宫侍女1,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,35,精英怪弩手,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,36,远程精英怪,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,37,造成100%的攻击伤害，不带表现,造成100%的攻击伤害，不带表现,2,0,FALSE,,,,,,,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
,38,地刺,100%普通攻击伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit04(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,5,,,,,,,
###通用####,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,50,击飞,击飞,2,100,TRUE,assetbundle/pb_hero_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,3,100,8,5,,,,,,
,51,击退,击退,2,100,TRUE,assetbundle/pb_hero_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,12,100,400,50,,,,,,
,52,眩晕,眩晕,2,100,TRUE,assetbundle/pb_hero_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,3,-1,-1,2,100,5,0,,,,,,
,53,加血,加血,1,0,FALSE,assetbundle/pb_huixue01(matinee).matinee,assetbundle/pb_huixue01(matinee).matinee,assetbundle/pb_huixue01(matinee).matinee,assetbundle/pb_huixue01(matinee).matinee,assetbundle/pb_huixue01(matinee).matinee,assetbundle/pb_huixue01(matinee).matinee,,FALSE,0,FALSE,0,1,-1,-1,16,0,0,0,0,0,0,100,75,0
,54,对目标造成伤害（轻微）,对目标造成伤害,2,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,,,FALSE,0,FALSE,0,2,-1,-1,1,100,80,,,,,,,
,55,对自己造成伤害（自爆）,对自己造成伤害,1,0,FALSE,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,,,FALSE,0,FALSE,0,2,-1,-1,1,100,2000,,,,,,,
,56,轻微击退,轻微击退,2,100,TRUE,,,,,,,,FALSE,0,FALSE,0,2,-1,-1,12,100,300,25,,,,,,
,57,对目标造成伤害（自爆）,对目标造成伤害,2,0,FALSE,,,,,,,,FALSE,0,FALSE,0,2,-1,-1,1,100,1000,,,,,,,
,58,灼烧,对目标造成灼烧伤害，持续3s，每s100点伤害,2,0,FALSE,AssetBundle/pb_zhuoshao01(matinee).matinee,AssetBundle/pb_zhuoshao01(matinee).matinee,AssetBundle/pb_zhuoshao01(matinee).matinee,AssetBundle/pb_zhuoshao01(matinee).matinee,AssetBundle/pb_zhuoshao01(matinee).matinee,AssetBundle/pb_zhuoshao01(matinee).matinee,,TRUE,5,TRUE,1,2,-1,-1,10,100,0,50,,,,,,
,59,禁锢,对目标造成禁锢，不可移动,2,100,TRUE,,,,,,,,TRUE,1.66,FALSE,0,2,-1,-1,19,100,-1,,,,,,,
,98,攻击回怒,每次攻击回复10点怒气,2,0,FALSE,,,,,,,,FALSE,0,FALSE,0,1,-1,-1,6,0,0,0,100,0,15,,,
,99,技能回怒,每次技能回复25点怒气,2,0,FALSE,,,,,,,,FALSE,0,FALSE,0,1,-1,-1,6,0,0,0,100,0,50,,,
##主角普通攻击##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,101,赵云普攻1,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,18,90,95,10,10,,,,,
,102,赵云普攻2,,2,0,TRUE,assetbundle/tx_zy01_hit02(matinee).matinee,assetbundle/tx_zy01_hit02(matinee).matinee,assetbundle/tx_zy01_hit02(matinee).matinee,assetbundle/tx_zy01_hit02(matinee).matinee,assetbundle/pb_logic_hit02(matinee).matinee,assetbundle/tx_zy01_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,18,95,100,10,10,,,,,
,103,赵云普攻3,,2,0,TRUE,assetbundle/tx_zy01_hit03(matinee).matinee,assetbundle/tx_zy01_hit03(matinee).matinee,assetbundle/tx_zy01_hit03(matinee).matinee,assetbundle/tx_zy01_hit03(matinee).matinee,assetbundle/pb_logic_hit03(matinee).matinee,assetbundle/tx_zy01_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,18,100,105,10,10,,,,,
,104,赵云普攻4,,2,0,TRUE,assetbundle/tx_zy01_hit04(matinee).matinee,assetbundle/tx_zy01_hit04(matinee).matinee,assetbundle/tx_zy01_hit04(matinee).matinee,assetbundle/tx_zy01_hit04(matinee).matinee,assetbundle/pb_logic_hit04(matinee).matinee,assetbundle/tx_zy01_hit04(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,18,105,120,10,10,,,,,
,201,夏侯惇普通攻击1,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,202,夏侯惇普通攻击2,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit02(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,203,夏侯惇普通攻击3,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit03(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,204,夏侯惇普通攻击3,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit04(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,301,孙尚香普通攻击1,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,302,孙尚香普通攻击2,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit02(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,303,孙尚香普通攻击3,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit03(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,304,孙尚香普通攻击3,,2,0,TRUE,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,assetbundle/pb_logic_hit04(matinee).matinee,assetbundle/tx_zy01_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
##小兵普通攻击##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,701,刀兵普攻,造成100%的普通攻击伤害,2,0,FALSE,assetbundle/pb_hero_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit01(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,702,枪兵,造成100%的普通攻击伤害,2,0,FALSE,assetbundle/pb_hero_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,703,弓兵,造成100%的普通攻击伤害,2,0,FALSE,assetbundle/pb_hero_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit03(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
,704,锤兵,造成100%的普通攻击伤害,2,0,FALSE,assetbundle/pb_hero_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,assetbundle/pb_logic_hit01(matinee).matinee,assetbundle/pb_Monster_hit02(matinee).matinee,,FALSE,0,FALSE,0,2,-1,-1,1,100,0,,,,,,,
##副将普通攻击##,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
