note,id,main,body,weapon_left,weapon_right,half_image,dead_show,dizziness_show,knockup_show,repulse_show,silent_show,poison_show,firing_show,relive_show,invincible_show,born_show,exit_show,victory_show,confine_show,hp50_show,mass,shadow,shadow_scale,height_offset,behit_sound,scale
刀锋陷阱,16,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
滚木,17,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
滚石,18,assetbundle/hjl01_logic04(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
火药桶,19,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
AI弩车,20,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
千斤闸,21,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
木箱,22,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
粮草包,23,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
树,24,assetbundle/hjl01_logic03(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
掉落宝箱,25,assetbundle/baoxiang_01(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
大炮,26,assetbundle/dapao_01(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
火球,27,assetbundle/pb_huoqiu01(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
闪电,28,assetbundle/pb_shandian01(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
栅栏,29,assetbundle/pb_huoqiu01(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
栅栏上,30,assetbundle/hjl01_logic02(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
栅栏下,31,assetbundle/hjl01_logic02(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
火幡,32,assetbundle/hjl01_logic06(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
雷幡,33,assetbundle/hjl01_logic07(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
第一章要守的城门中层,34,assetbundle/hjl01_logic03b(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.16,,1
第一章要守的城门下层,35,assetbundle/hjl01_logic03c(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.16,,1
空的阻挡专用,36,assetbundle/pb_zuduang01(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,-2.6,,1
第二章的城门上层,37,assetbundle/caj01_logic01a(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.16,,1
第二章的城门中层,38,assetbundle/caj01_logic01b(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,-1.5,,1
第二章的城门下层,39,assetbundle/caj01_logic01c(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,AssetBundle/tx_hjl01_broken01(matinee).matinee,100000,,-1,0.16,,1
牢笼,40,assetbundle/pb_laolong(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,-0.5,,1
地钉机关,41,assetbundle/caj01_logic02(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
火堆,42,assetbundle/caj02_logic02(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
骷髅头,43,assetbundle/caj02_logic04(animatormodel).animatormodel,,,,,,,,,,,,,,,,,,,100000,,-1,0.16,,1
张角,101,assetbundle/zhangjiao(animatormodel).animatormodel,,,,gaine_008,AssetBundle/tx_zj01_die01(matinee).matinee,AssetBundle/tx_zj01_vertigo01(matinee).matinee,AssetBundle/tx_zj01_fly01(matinee).matinee,AssetBundle/tx_zj01_back01(matinee).matinee,,,,,,AssetBundle/tx_zj01_born01(matinee).matinee,AssetBundle/tx_zj01_born01(matinee).matinee,AssetBundle/tx_zj01_win01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
华雄,102,assetbundle/huaxiong(animatormodel).animatormodel,,,,gaine_009,AssetBundle/tx_hx01_die01(matinee).matinee,AssetBundle/tx_hx01_vertigo01(matinee).matinee,AssetBundle/tx_hx01_fly01(matinee).matinee,AssetBundle/tx_hx01_back01(matinee).matinee,,,,,,,,AssetBundle/tx_hx01_win01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
张辽,103,assetbundle/zhangliao(animatormodel).animatormodel,,,,gaine_103,AssetBundle/tx_zl01_die01(matinee).matinee,AssetBundle/tx_zl01_vertigo01(matinee).matinee,AssetBundle/tx_zl01_fly01(matinee).matinee,AssetBundle/tx_zl01_back01(matinee).matinee,,,,,,AssetBundle/tx_zl01_born01(matinee).matinee,AssetBundle/tx_zl01_born01(matinee).matinee,AssetBundle/tx_zl01_win01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
吕布,104,assetbundle/caoren(animatormodel).animatormodel,,,,gaine_104,AssetBundle/tx_lb01_die01(matinee).matinee,AssetBundle/tx_lb01_vertigo01(matinee).matinee,AssetBundle/tx_lb01_fly01(matinee).matinee,AssetBundle/tx_lb01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
黑衣人,105,assetbundle/heiyiren(animatormodel).animatormodel,,,,gaine_207,AssetBundle/tx_hyr01_die01(matinee).matinee,AssetBundle/tx_hyr01_vertigo01(matinee).matinee,AssetBundle/tx_hyr01_fly01(matinee).matinee,AssetBundle/tx_hyr01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
董卓,106,assetbundle/dongzhuo(animatormodel).animatormodel,,,,gaine_005,AssetBundle/tx_dz01_die01(matinee).matinee,AssetBundle/tx_dz01_vertigo01(matinee).matinee,AssetBundle/tx_dz01_fly01(matinee).matinee,AssetBundle/tx_dz01_back01(matinee).matinee,,,,,,AssetBundle/tx_dz01_born01(matinee).matinee,,AssetBundle/tx_dz01_win01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
孙坚,107,assetbundle/sunjian(animatormodel).animatormodel,,,,gaine_107,AssetBundle/tx_sj01_die01(matinee).matinee,AssetBundle/tx_sj01_vertigo01(matinee).matinee,AssetBundle/tx_sj01_fly01(matinee).matinee,AssetBundle/tx_sj01_back01(matinee).matinee,,,,,,AssetBundle/tx_sj01_born01(matinee).matinee,,AssetBundle/tx_sj01_win01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
蔡文姬,108,assetbundle/caoren(animatormodel).animatormodel,,,,gaine_108,AssetBundle/tx_cwj01_die01(matinee).matinee,AssetBundle/tx_cwj01_vertigo01(matinee).matinee,AssetBundle/tx_cwj01_fly01(matinee).matinee,AssetBundle/tx_cwj01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
张飞,109,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_zf01_die01(matinee).matinee,AssetBundle/tx_zf01_vertigo01(matinee).matinee,AssetBundle/tx_cr01_zf01(matinee).matinee,AssetBundle/tx_zf01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
刘备,110,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_lb01_die01(matinee).matinee,AssetBundle/tx_lb01_vertigo01(matinee).matinee,AssetBundle/tx_lb01_fly01(matinee).matinee,AssetBundle/tx_lb01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
曹操,111,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_cc01_die01(matinee).matinee,AssetBundle/tx_cc01_vertigo01(matinee).matinee,AssetBundle/tx_cc01_fly01(matinee).matinee,AssetBundle/tx_cc01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
贾诩,112,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_jx01_die01(matinee).matinee,AssetBundle/tx_jx01_vertigo01(matinee).matinee,AssetBundle/tx_cr01_jx01(matinee).matinee,AssetBundle/tx_jx01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
汉献帝,113,assetbundle/hanxiandi(animatormodel).animatormodel,,,,gaine_113,AssetBundle/tx_hxd01_die01(matinee).matinee,AssetBundle/tx_hxd01_vertigo01(matinee).matinee,AssetBundle/tx_hxd01_fly01(matinee).matinee,AssetBundle/tx_hxd01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
袁术,114,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_ys01_die01(matinee).matinee,AssetBundle/tx_ys01_vertigo01(matinee).matinee,AssetBundle/tx_ys01_fly01(matinee).matinee,AssetBundle/tx_ys01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
典韦,115,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_dw01_die01(matinee).matinee,AssetBundle/tx_dw01_vertigo01(matinee).matinee,AssetBundle/tx_dw01_fly01(matinee).matinee,AssetBundle/tx_dw01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
徐晃,116,assetbundle/xuhuang(animatormodel).animatormodel,,,,gaine_116,AssetBundle/tx_xh01_die01(matinee).matinee,AssetBundle/tx_xh01_vertigo01(matinee).matinee,AssetBundle/tx_xh01_fly01(matinee).matinee,AssetBundle/tx_xh01_back01(matinee).matinee,,,,,,AssetBundle/tx_xh01_born01(matinee).matinee,,AssetBundle/tx_xh01_win01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
曹仁,117,assetbundle/caoren(animatormodel).animatormodel,,,,gaine_117,AssetBundle/tx_cr01_die01(matinee).matinee,AssetBundle/tx_cr01_vertigo01(matinee).matinee,AssetBundle/tx_cr01_fly01(matinee).matinee,AssetBundle/tx_cr01_back01(matinee).matinee,,,,,,AssetBundle/tx_cr01_born01(matinee).matinee,AssetBundle/tx_cr01_born01(matinee).matinee,AssetBundle/tx_cr01_born01(matinee).matinee,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
孙策,118,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_sc01_die01(matinee).matinee,AssetBundle/tx_sc01_vertigo01(matinee).matinee,AssetBundle/tx_sc01_fly01(matinee).matinee,AssetBundle/tx_sc01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
太史慈,119,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_tsc01_die01(matinee).matinee,AssetBundle/tx_tsc01_vertigo01(matinee).matinee,AssetBundle/tx_cr01_tsc01(matinee).matinee,AssetBundle/tx_tsc01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
华佗,120,assetbundle/huatuo(animatormodel).animatormodel,,,,gaine_120,AssetBundle/tx_ht01_die01(matinee).matinee,AssetBundle/tx_ht01_vertigo01(matinee).matinee,AssetBundle/tx_ht01_fly01(matinee).matinee,AssetBundle/tx_ht01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
吕玲绮,121,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_llq01_die01(matinee).matinee,AssetBundle/tx_llq01_vertigo01(matinee).matinee,AssetBundle/tx_llq01_fly01(matinee).matinee,AssetBundle/tx_llq01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
甄姬,122,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_zj01_die01(matinee).matinee,AssetBundle/tx_zj01_vertigo01(matinee).matinee,AssetBundle/tx_zj01_fly01(matinee).matinee,AssetBundle/tx_zj01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
貂蝉,123,assetbundle/caoren(animatormodel).animatormodel,,,,,AssetBundle/tx_dc01_die01(matinee).matinee,AssetBundle/tx_dc01_vertigo01(matinee).matinee,AssetBundle/tx_dc01_fly01(matinee).matinee,AssetBundle/tx_dc01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通枪兵,1001,assetbundle/qiangbing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_qb01_die01(matinee).matinee,AssetBundle/tx_qb01_vertigo01(matinee).matinee,AssetBundle/tx_qb01_fly01(matinee).matinee,AssetBundle/tx_qb01_back01(matinee).matinee,,,,,,,,,,,10,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通长枪兵,1002,assetbundle/qiangbing_02(animatormodel).animatormodel,,,,,AssetBundle/tx_qb02_die01(matinee).matinee,AssetBundle/tx_qb02_vertigo01(matinee).matinee,AssetBundle/tx_qb02_fly01(matinee).matinee,AssetBundle/tx_qb02_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
宫殿卫队长,1003,assetbundle/shiwei_04(animatormodel).animatormodel,,,,gaine_202,AssetBundle/tx_sw04_die01(matinee).matinee,AssetBundle/tx_sw04_vertigo01(matinee).matinee,AssetBundle/tx_sw04_fly01(matinee).matinee,AssetBundle/tx_sw04_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通弓兵,1004,assetbundle/gongbing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_gb01_die01(matinee).matinee,AssetBundle/tx_gb01_vertigo01(matinee).matinee,AssetBundle/tx_gb01_fly01(matinee).matinee,AssetBundle/tx_gb01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
黄巾军锄头兵,1005,assetbundle/huangjinjun_01(animatormodel).animatormodel,,,,gaine_206,AssetBundle/tx_hjj01_die01(matinee).matinee,AssetBundle/tx_hjj01_vertigo01(matinee).matinee,AssetBundle/tx_hjj01_fly01(matinee).matinee,AssetBundle/tx_hjj01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
黄巾军枪兵,1006,assetbundle/huangjinjun_02(animatormodel).animatormodel,,,,,AssetBundle/tx_hjj02_die01(matinee).matinee,AssetBundle/tx_hjj02_vertigo01(matinee).matinee,AssetBundle/tx_hjj02_fly01(matinee).matinee,AssetBundle/tx_hjj02_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
通用猛将怪,1007,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_hjj02_die01(matinee).matinee,AssetBundle/tx_hjj02_vertigo01(matinee).matinee,AssetBundle/tx_hjj02_fly01(matinee).matinee,AssetBundle/tx_hjj02_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
通用输出怪,1008,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_hjj02_die01(matinee).matinee,AssetBundle/tx_hjj02_vertigo01(matinee).matinee,AssetBundle/tx_hjj02_fly01(matinee).matinee,AssetBundle/tx_hjj02_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
通用策士怪,1009,assetbundle/jingyingguai_02(animatormodel).animatormodel,,,,,AssetBundle/tx_jyg02_die01(matinee).matinee,AssetBundle/tx_jyg02_vertigo01(matinee).matinee,AssetBundle/tx_jyg02_fly01(matinee).matinee,AssetBundle/tx_jyg02_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
黄巾军弓兵,1010,assetbundle/huangjinjun_03(animatormodel).animatormodel,,,,,AssetBundle/tx_hjj03_die01(matinee).matinee,AssetBundle/tx_hjj03_vertigo01(matinee).matinee,AssetBundle/tx_hjj03_fly01(matinee).matinee,AssetBundle/tx_hjj03_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
木头人,1011,assetbundle/motouren_01(animatormodel).animatormodel,,,,,AssetBundle/tx_mtr01_die01(matinee).matinee,AssetBundle/tx_mtr01_vertigo01(matinee).matinee,AssetBundle/tx_mtr01_fly01(matinee).matinee,AssetBundle/tx_mtr01_back01(matinee).matinee,,,,,,AssetBundle/pb_chuchang02(matinee).matinee,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
百姓,1012,assetbundle/baixing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_bx01_die01(matinee).matinee,AssetBundle/tx_bx01_vertigo01(matinee).matinee,AssetBundle/tx_bx01_fly01(matinee).matinee,AssetBundle/tx_bx01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通刀兵,1013,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_db01_die01(matinee).matinee,AssetBundle/tx_db01_vertigo01(matinee).matinee,AssetBundle/tx_db01_fly01(matinee).matinee,AssetBundle/tx_db01_back01(matinee).matinee,,,,,,,,,,,12,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
蒙面刺客,1014,assetbundle/cike_01(animatormodel).animatormodel,,,,gaine_208,AssetBundle/tx_ck01_die01(matinee).matinee,AssetBundle/tx_ck01_vertigo01(matinee).matinee,AssetBundle/tx_ck01_fly01(matinee).matinee,AssetBundle/tx_ck01_back01(matinee).matinee,,,,,,,,,,,12,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
宫殿侍卫刀兵,1015,assetbundle/shiwei_02(animatormodel).animatormodel,,,,gaine_209,AssetBundle/tx_sw02_die01(matinee).matinee,AssetBundle/tx_sw02_vertigo01(matinee).matinee,AssetBundle/tx_sw02_fly01(matinee).matinee,AssetBundle/tx_sw02_back01(matinee).matinee,,,,,,AssetBundle/tx_sw02_born01(matinee).matinee,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
宫殿侍卫枪兵,1016,assetbundle/shiwei_01(animatormodel).animatormodel,,,,gaine_201,AssetBundle/tx_sw01_die01(matinee).matinee,AssetBundle/tx_sw01_vertigo01(matinee).matinee,AssetBundle/tx_sw01_fly01(matinee).matinee,AssetBundle/tx_sw01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
宫殿侍卫弓兵,1017,assetbundle/shiwei_03(animatormodel).animatormodel,,,,,AssetBundle/tx_sw03_die01(matinee).matinee,AssetBundle/tx_sw03_vertigo01(matinee).matinee,AssetBundle/tx_sw03_fly01(matinee).matinee,AssetBundle/tx_sw03_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通策士,1018,assetbundle/ceshi_01(animatormodel).animatormodel,,,,gaine_210,AssetBundle/tx_cs01_die01(matinee).matinee,AssetBundle/tx_cs01_vertigo01(matinee).matinee,AssetBundle/tx_cs01_fly01(matinee).matinee,AssetBundle/tx_cs01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
侍女1,1019,assetbundle/shinv01(animatormodel).animatormodel,,,,,AssetBundle/tx_sn01_die01(matinee).matinee,AssetBundle/tx_sn01_vertigo01(matinee).matinee,AssetBundle/tx_sn01_fly01(matinee).matinee,AssetBundle/tx_sn01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
侍女2,1020,assetbundle/shinv02(animatormodel).animatormodel,,,,,AssetBundle/tx_sn02_die01(matinee).matinee,AssetBundle/tx_sn02_vertigo01(matinee).matinee,AssetBundle/tx_sn02_fly01(matinee).matinee,AssetBundle/tx_sn02_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通骑兵,1021,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_db01_die01(matinee).matinee,AssetBundle/tx_db01_vertigo01(matinee).matinee,AssetBundle/tx_db01_fly01(matinee).matinee,AssetBundle/tx_db01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
流寇/地痞,1022,assetbundle/liumang_01(animatormodel).animatormodel,,,,,AssetBundle/tx_lm01_die01(matinee).matinee,AssetBundle/tx_lm01_vertigo01(matinee).matinee,AssetBundle/tx_lm01_fly01(matinee).matinee,AssetBundle/tx_lm01_back01(matinee).matinee,,,,,,,,,,,12,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
刀盾兵,1023,assetbundle/daodunbing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_ddb01_die01(matinee).matinee,AssetBundle/tx_ddb01_vertigo01(matinee).matinee,AssetBundle/tx_ddb01_fly01(matinee).matinee,AssetBundle/tx_ddb01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通锤兵,1024,assetbundle/chuibing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_cb01_die01(matinee).matinee,AssetBundle/tx_cb01_vertigo01(matinee).matinee,AssetBundle/tx_cb01_fly01(matinee).matinee,AssetBundle/tx_cb01_back01(matinee).matinee,,,,,,,,,,,12,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
藤甲兵,1025,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_db01_die01(matinee).matinee,AssetBundle/tx_db01_vertigo01(matinee).matinee,AssetBundle/tx_db01_fly01(matinee).matinee,AssetBundle/tx_db01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
重骑兵,1026,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_db01_die01(matinee).matinee,AssetBundle/tx_db01_vertigo01(matinee).matinee,AssetBundle/tx_db01_fly01(matinee).matinee,AssetBundle/tx_db01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
普通弩兵,1027,assetbundle/nubing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_nb01_die01(matinee).matinee,AssetBundle/tx_nb01_vertigo01(matinee).matinee,AssetBundle/tx_nb01_fly01(matinee).matinee,AssetBundle/tx_nb01_back01(matinee).matinee,,,,,,,,,,,8,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
锤盾兵,1028,assetbundle/chuidunbing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_cdb01_die01(matinee).matinee,AssetBundle/tx_cdb01_vertigo01(matinee).matinee,AssetBundle/tx_cdb01_fly01(matinee).matinee,AssetBundle/tx_cdb01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
投石车,1029,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_db01_die01(matinee).matinee,AssetBundle/tx_db01_vertigo01(matinee).matinee,AssetBundle/tx_db01_fly01(matinee).matinee,AssetBundle/tx_db01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
象骑兵,1030,assetbundle/daobing_01(animatormodel).animatormodel,,,,,AssetBundle/tx_db01_die01(matinee).matinee,AssetBundle/tx_db01_vertigo01(matinee).matinee,AssetBundle/tx_db01_fly01(matinee).matinee,AssetBundle/tx_db01_back01(matinee).matinee,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
床弩,1031,assetbundle/nuche_01(animatormodel).animatormodel,,,,,AssetBundle/tx_nc01_die01(matinee).matinee,,,,,,,,,,,,,,15,AssetBundle/characters_shadow(gameobject).gameobject,1,0.16,,1
